A2M,AAAS,AAK1,AAMP,AARS,AARSD1,AASDH,AASDHPPT,AASS,AATF,ABAT,ABCA1,ABCA8,ABCB6,ABCC3,ABCC5,ABCC9,ABCD2,ABCD3,ABCD4,ABCE1,ABCF2,ABCF3,ABHD2,ABHD4,ABHD5,ABHD14B,ABI1
A2M,2,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AAAS,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAK1,0,0,2,0,0,2,0,0,0,2,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
AAMP,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2,0,0,0
AARS,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
AARSD1,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,2,2,0
AASDH,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,2,2,0,2,0,0,0,0,0,0,0
AASDHPPT,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0
AASS,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0
AATF,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,0,0,0
ABAT,0,0,2,0,0,0,0,0,2,0,2,0,2,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0
ABCA1,2,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
ABCA8,2,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0
ABCB6,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,2,0,2,2,2,0,0,2,0,2,2,0,0
ABCC3,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,0,2,2,0,2,0,0,2,0,0,0,0,0
ABCC5,0,0,0,0,0,0,2,0,2,2,0,0,0,2,0,2,2,2,2,0,0,0,0,0,2,2,0,0
ABCC9,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,0,0,0,0,0,0,0,2
ABCD2,0,0,0,0,0,2,2,2,2,0,2,0,2,2,2,2,0,2,2,0,0,0,0,2,0,2,0,0
ABCD3,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,2,0,2,2,0,0,0,0,0,2,2,0,0
ABCD4,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,2,2,0,0,0,2
ABCE1,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
ABCF2,0,0,0,0,2,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0
ABCF3,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,2,0,2,2,0,0,0,0,2
ABHD2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,2,2,0,2
ABHD4,0,0,0,2,0,0,0,2,0,2,2,0,0,2,0,2,0,0,2,0,2,2,0,2,2,0,0,0
ABHD5,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,2,0,2,2,0,0,0,0,2,0,2,0,2
ABHD14B,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ABI1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,0,2,0,2
